PACKAGE_NAME,ALIAS,PROCEDURE_NAME,SUBPROGRAM_TYPE,RETURN_TYPE,ARGUMENT_NAME,DATA_TYPE,IN_OUT,DEFAULT_VALUE,POSITION
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_CONFIG_STATIC_ID,VARCHAR2,IN,,1
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,1
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,1
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,1
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,1
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_CONFIG_STATIC_ID,VARCHAR2,IN,,1
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_SYSTEM_PROMPT,VARCHAR2,IN,,2
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_SYSTEM_PROMPT,VARCHAR2,IN,,2
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_SYSTEM_PROMPT,VARCHAR2,IN,,2
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_SYSTEM_PROMPT,VARCHAR2,IN,,2
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,2
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,2
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,2
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,2
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_SERVICE_STATIC_ID,VARCHAR2,IN,,3
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_MESSAGES,PL/SQL TABLE,IN/OUT,,3
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_SERVICE_STATIC_ID,VARCHAR2,IN,,3
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_SERVICE_STATIC_ID,VARCHAR2,IN,,3
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_SERVICE_STATIC_ID,VARCHAR2,IN,,3
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_MESSAGES,PL/SQL TABLE,IN/OUT,,3
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_MESSAGES,PL/SQL TABLE,IN/OUT,,3
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_MESSAGES,PL/SQL TABLE,IN/OUT,,3
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_TEMPERATURE,NUMBER,IN,,4
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_TEMPERATURE,NUMBER,IN,,4
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_TEMPERATURE,NUMBER,IN,,4
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_TEMPERATURE,NUMBER,IN,,4
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_MESSAGES,PL/SQL TABLE,IN/OUT,,5
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_MESSAGES,PL/SQL TABLE,IN/OUT,,5
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_MESSAGES,PL/SQL TABLE,IN/OUT,,5
WWV_FLOW_AI_API,APEX_AI,CHAT,FUNCTION,CLOB,P_MESSAGES,PL/SQL TABLE,IN/OUT,,5
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_CONFIG_STATIC_ID,VARCHAR2,IN,,1
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_CONFIG_STATIC_ID,VARCHAR2,IN,,1
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_CONFIG_STATIC_ID,VARCHAR2,IN,,1
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,1
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,1
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,1
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_PROMPT,CLOB,IN,,1
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_CONFIG_STATIC_ID,VARCHAR2,IN,,1
WWV_FLOW_AI_API,APEX_AI,GENERATE,FUNCTION,CLOB,P_SYSTEM_PROMPT,VARCHAR2,IN,,2
